Metric,Category,n,Pre_mean,Pre_SD,Stim_mean,Stim_SD,Post_mean,Post_SD,dz_Stim_Pre,p_Stim_Pre,p_FDR_Stim_Pre,BF01_Stim_Pre,dz_Post_Pre,p_Post_Pre,p_FDR_Post_Pre,BF01_Post_Pre,dz_Post_Stim,p_Post_Stim,p_FDR_Post_Stim,Friedman_chi2,Friedman_p,Temporal_Type,Reliability_flag
NN50,Time Domain,18,65.33,56.92,67.72,62.3,69.33,61.32,0.2,0.4452,0.9674,4.04,0.14,0.9811,1.0,4.08,0.06,0.8788,0.9903,0.87,0.6462,D,
NN20,Time Domain,18,188.72,56.95,188.22,64.02,194.17,58.47,-0.03,0.887,0.9903,4.11,0.22,0.7763,0.9742,4.03,0.26,0.5178,0.9674,0.09,0.9568,D,
TINN,Time Domain,18,323.35,85.42,333.33,159.75,324.22,87.79,0.11,0.776,0.9742,4.09,0.01,0.6472,0.9678,4.11,-0.08,0.7769,0.9742,0.8,0.6703,D,
SI,Time Domain,18,17.65,11.18,19.94,13.88,16.58,8.46,0.32,0.3247,0.8791,3.93,-0.19,0.4683,0.9674,4.05,-0.39,0.1674,0.743,2.78,0.2494,D,
MinHR,Time Domain,18,60.67,9.74,60.55,10.77,61.11,8.85,-0.03,1.0,1.0,4.11,0.13,0.8986,0.9903,4.08,0.15,0.766,0.9742,0.33,0.8465,D,
MaxHR,Time Domain,18,88.2,12.98,87.86,11.93,89.61,12.43,-0.05,0.4683,0.9674,4.11,0.29,0.2121,0.7901,3.96,0.37,0.1674,0.743,1.44,0.4857,D,
VLF_power,Frequency Domain,18,423.57,337.78,518.55,639.41,365.54,371.47,0.24,0.5226,0.9674,4.01,-0.22,0.8986,0.9903,4.02,-0.46,0.0539,0.743,2.33,0.3114,D,low_reliability_5min
LF_power,Frequency Domain,18,1118.43,928.53,1067.42,1192.94,1124.36,1040.67,-0.07,0.1674,0.743,4.1,0.01,0.7337,0.9742,4.11,0.05,0.4951,0.9674,3.11,0.2111,D,
HF_power,Frequency Domain,18,585.17,509.09,695.88,691.46,568.7,438.97,0.39,0.0814,0.743,3.85,-0.08,0.8986,0.9903,4.1,-0.34,0.1297,0.743,3.0,0.2231,D,
Total_power,Frequency Domain,18,2466.03,1778.21,2648.69,2694.15,2376.26,1596.93,0.14,0.6397,0.9678,4.08,-0.07,1.0,1.0,4.11,-0.14,0.8986,0.9903,1.0,0.6065,D,
LF_norm,Frequency Domain,18,65.14,18.49,59.76,23.53,64.52,19.62,-0.57,0.0304,0.6741,3.56,-0.07,0.9323,0.9903,4.11,0.34,0.0987,0.743,5.44,0.0657,B,
HF_norm,Frequency Domain,18,34.86,18.49,40.24,23.53,35.48,19.62,0.57,0.0304,0.6741,3.56,0.07,0.9323,0.9903,4.11,-0.34,0.0987,0.743,5.44,0.0657,B,
LF_HF_ratio,Frequency Domain,18,3.69,5.0,2.63,2.27,4.02,6.73,-0.3,0.1297,0.743,3.96,0.16,0.4951,0.9674,4.07,0.26,0.2837,0.8605,5.44,0.0657,D,
LF_peak_freq,Frequency Domain,18,0.07,0.02,0.07,0.02,0.07,0.02,-0.08,0.7167,0.9742,4.1,0.0,0.9132,0.9903,4.11,0.06,1.0,1.0,0.12,0.9439,D,
lnLF,Frequency Domain,18,6.75,0.74,6.55,0.91,6.74,0.74,-0.43,0.0814,0.743,3.79,-0.0,0.8317,0.9903,4.11,0.29,0.2121,0.7901,3.11,0.2111,D,
