Subject,Phase,n_beats,n_resampled,a1,a2,sigma2,zeta,omega_n,f_n,is_complex,radius,z1_abs,theta_rad,error,z1_real,z1_imag,z2_real,z2_imag
15,Stim,382,1197,-1.9673218398154366,0.9908752555060235,0.3940276379348774,0.02976659519395999,0.0979801675067558,0.0979801675067558,True,0.995427172376776,0.995427172376776,0.15390688721836068,,0.9836609199077184,0.1525989847683294,0.9836609199077184,-0.1525989847683294
15,Post,377,1193,-1.9675130522435054,0.9890373380241242,0.8524018088533194,0.03743044215700668,0.09367597150762134,0.09367597150762134,True,0.9945035636055427,0.9945035636055427,0.147145871953115,,0.9837565261217525,0.14580958588853352,0.9837565261217525,-0.14580958588853352
16,Pre,275,1199,-1.9739675507299954,0.9973687692517821,0.053227320679800724,0.008597471976863566,0.0975425791097693,0.0975425791097693,True,0.9986835180635468,0.9986835180635468,0.15321952497172622,,0.9869837753649979,0.15241980323448104,0.9869837753649979,-0.15241980323448104
16,Stim,281,1196,-1.9653094464011385,0.9883912610669779,0.2015531386453147,0.038279441923749796,0.09702513059818066,0.09702513059818066,True,0.9941786866891577,0.9941786866891577,0.1524067187504173,,0.9826547232005693,0.15093361467410335,0.9826547232005693,-0.15093361467410335
16,Post,289,1192,-1.9637520242710647,0.9878626051694752,0.2279071605398536,0.03916302395478189,0.09917794694089167,0.09917794694089167,True,0.9939127754332747,0.9939127754332747,0.15578835475381178,,0.9818760121355323,0.15421446742215628,0.9818760121355323,-0.15421446742215628
17,Pre,325,1196,-1.9720905431880151,0.9952749660343279,0.05078341824600533,0.0155192022330121,0.09713179578976099,0.09713179578976099,True,0.9976346856612033,0.9976346856612033,0.15257426804154856,,0.9860452715940077,0.151623508736039,0.9860452715940077,-0.151623508736039
17,Stim,317,1195,-1.9656779838252514,0.9891317283655511,0.0352148291366289,0.03554529495307195,0.09779681922715304,0.09779681922715304,True,0.9945510184829891,0.9945510184829891,0.15361888441423652,,0.9828389919126257,0.15218161630671673,0.9828389919126257,-0.15218161630671673
17,Post,316,1193,-1.972351156325666,0.9946382602284968,0.037829552190755095,0.0179649970926725,0.09524134301466536,0.09524134301466536,True,0.9973155269163801,0.9973155269163801,0.14960475176644913,,0.9861755781628332,0.14864719729513542,0.9861755781628332,-0.14864719729513542
18,Pre,295,1191,-1.965302962417566,0.9884367048147678,0.7956485040474358,0.03808625500739128,0.09713402258356822,0.09713402258356822,True,0.9942015413460029,0.9942015413460029,0.1525777658810815,,0.982651481208783,0.1511051663344192,0.982651481208783,-0.1511051663344192
18,Stim,304,1190,-1.9671910696473704,0.9891369081188524,0.3452748377725338,0.03673094328348956,0.09459059809653438,0.09459059809653438,True,0.9945536225457391,0.9945536225457391,0.14858256403936854,,0.9835955348236853,0.14723020068505244,0.9835955348236853,-0.14723020068505244
18,Post,338,1195,-1.968211988750939,0.9903237906333664,0.13758195652257574,0.03258480600035864,0.09493344576315672,0.09493344576315672,True,0.9951501347200665,0.9951501347200665,0.1491211078947491,,0.9841059943754695,0.1478485118884689,0.9841059943754695,-0.1478485118884689
