Metric,Comparison,n,mean_a,mean_b,mean_diff,p_ttest,p_wilcoxon,dz,p_fdr
PDC_PTT_to_SBP_Mayer,Post-Pre,16,0.02051336575252925,0.029004001296048916,-0.00849063554351967,0.1825801160697385,0.09344482421875,-0.3493848749881537,0.5873674665178572
PDC_PTT_to_SBP_Mayer,Post-Stim,16,0.02051336575252925,0.022467438640800558,-0.00195407288827131,0.7549334277054176,0.668548583984375,-0.0794783720226524,0.9736978499615779
PDC_PTT_to_RRI_Mayer,Stim-Pre,16,0.008877157148636454,0.025677399396710026,-0.01680024224807357,0.08394136074133085,0.07391357421875,-0.4627818294328088,0.5873674665178572
PDC_PTT_to_RRI_Mayer,Post-Pre,16,0.03796148604971452,0.025677399396710026,0.01228408665300449,0.5435875875466473,0.979949951171875,0.15538036093961158,1.0
PDC_PTT_to_RRI_Mayer,Post-Stim,16,0.03796148604971452,0.008877157148636454,0.02908432890107806,0.2826037267134871,0.19281005859375,0.27862516326037584,0.8483642578125
SNR_openloop_Mayer,Stim-Pre,18,6.578173539713666,5.054482947863035,1.52369059185063,0.39784304459390085,0.550872802734375,0.20442986766521912,0.9089401245117187
SNR_openloop_Mayer,Post-Pre,18,5.608301819434141,5.054482947863035,0.5538188715711045,0.6618744310058279,0.9661178588867188,0.1049072541982423,1.0
SNR_openloop_Mayer,Post-Stim,18,5.608301819434141,6.578173539713666,-0.9698717202795256,0.6339960153498408,0.39273834228515625,-0.11427181616127918,0.8825080968156646
SNR_openloop_Mayer_dB,Stim-Pre,18,6.14698736278978,5.47971797977139,0.6672693830183906,0.604346608012021,0.6705245971679688,0.12444287053823395,0.9736978499615779
SNR_openloop_Mayer_dB,Post-Pre,18,5.862881985032183,5.47971797977139,0.38316400526079236,0.6701493374546134,0.7987060546875,0.10216135418212259,0.9736978499615779
SNR_openloop_Mayer_dB,Post-Stim,18,5.862881985032183,6.14698736278978,-0.2841053777575982,0.8455328949698855,0.7987060546875,-0.046626357671563645,0.9736978499615779
Snn_openloop_Mayer,Stim-Pre,18,101.33608149135489,67.78572321496992,33.55035827638497,0.34016504631659294,0.22875213623046875,0.23131427065363397,0.8627223423549107
Snn_openloop_Mayer,Post-Pre,18,64.05573419170703,67.78572321496992,-3.7299890232628763,0.8408437137747742,0.34654998779296875,-0.0480624090203868,0.8825080968156646
Snn_openloop_Mayer,Post-Stim,18,64.05573419170703,101.33608149135489,-37.28034729964784,0.29372232672598453,0.44229888916015625,-0.2553795443952762,0.8825080968156646
Snn_Syy_ratio_Mayer,Stim-Pre,18,0.20370708689125216,0.21958202441483296,-0.015874937523580802,0.6474428295560792,0.7987060546875,-0.10973234063102613,0.9736978499615779
Snn_Syy_ratio_Mayer,Post-Pre,18,0.19909081680525376,0.21958202441483296,-0.02049120760957919,0.6087374022080528,0.2645263671875,-0.12292179033593205,0.8825080968156646
Snn_Syy_ratio_Mayer,Post-Stim,18,0.19909081680525376,0.20370708689125216,-0.004616270085998387,0.9252548126705001,0.468292236328125,-0.022443172170542824,0.8825080968156646
gamma2_mean_Mayer,Stim-Pre,18,0.7644841825936862,0.7481381438443744,0.016346038749311825,0.7375809040524685,0.6705245971679688,0.08027911274296629,0.9736978499615779
gamma2_mean_Mayer,Post-Pre,18,0.7626606568315767,0.7481381438443744,0.0145225129872024,0.6805411982421576,0.8985748291015625,0.09873337213826487,0.9736978499615779
