time_s,raw,expanding_mean,rm_90s
208.125000,-0.210891,-0.510954,-0.336130
208.593750,-0.220138,-0.510040,-0.333292
209.062500,-0.229662,-0.509161,-0.330521
209.531250,-0.239450,-0.508318,-0.327818
210.000000,-0.249488,-0.507512,-0.325187
210.468750,-0.259763,-0.506742,-0.322628
210.937500,-0.270260,-0.506010,-0.320142
211.406250,-0.280963,-0.505316,-0.317733
211.875000,-0.291856,-0.504659,-0.315401
212.343750,-0.302924,-0.504040,-0.313147
212.812500,-0.314147,-0.503459,-0.310973
213.281250,-0.325509,-0.502917,-0.308880
213.750000,-0.336992,-0.502412,-0.306868
214.218750,-0.348578,-0.501946,-0.304940
214.687500,-0.360248,-0.501518,-0.303095
215.156250,-0.371984,-0.501128,-0.301335
215.625000,-0.383767,-0.500776,-0.299659
216.093750,-0.395580,-0.500461,-0.298069
216.562500,-0.407403,-0.500183,-0.296564
217.031250,-0.419218,-0.499942,-0.295145
217.500000,-0.431009,-0.499737,-0.293812
217.968750,-0.442756,-0.499569,-0.292565
218.437500,-0.454444,-0.499436,-0.291404
218.906250,-0.466055,-0.499337,-0.290328
219.375000,-0.477574,-0.499274,-0.289337
219.843750,-0.488985,-0.499244,-0.288431
220.312500,-0.500274,-0.499247,-0.287609
220.781250,-0.511426,-0.499282,-0.286871
221.250000,-0.522429,-0.499349,-0.286215
221.718750,-0.533270,-0.499447,-0.285642
222.187500,-0.543938,-0.499575,-0.285150
222.656250,-0.554423,-0.499733,-0.284738
223.125000,-0.564715,-0.499919,-0.284405
223.593750,-0.574807,-0.500133,-0.284151
224.062500,-0.584689,-0.500374,-0.283974
224.531250,-0.594357,-0.500641,-0.283873
225.000000,-0.603805,-0.500933,-0.283847
225.468750,-0.613028,-0.501250,-0.283894
225.937500,-0.622022,-0.501590,-0.284015
226.406250,-0.630786,-0.501953,-0.284206
226.875000,-0.639317,-0.502338,-0.284468
227.343750,-0.647615,-0.502744,-0.284799
227.812500,-0.655679,-0.503170,-0.285197
228.281250,-0.663511,-0.503615,-0.285662
228.750000,-0.671112,-0.504079,-0.286192
229.218750,-0.678483,-0.504561,-0.286786
229.687500,-0.685628,-0.505060,-0.287443
230.156250,-0.692549,-0.505575,-0.288162
230.625000,-0.699251,-0.506105,-0.288941
231.093750,-0.705737,-0.506651,-0.289780
231.562500,-0.712013,-0.507210,-0.290677
232.031250,-0.718082,-0.507783,-0.291632
232.500000,-0.723950,-0.508369,-0.292643
232.968750,-0.729622,-0.508967,-0.293710
233.437500,-0.735104,-0.509577,-0.294831
233.906250,-0.740401,-0.510197,-0.296006
234.375000,-0.745519,-0.510828,-0.297233
234.843750,-0.750465,-0.511469,-0.298513
235.312500,-0.755242,-0.512119,-0.299843
235.781250,-0.759859,-0.512778,-0.301224
236.250000,-0.764319,-0.513445,-0.302655
236.718750,-0.768629,-0.514120,-0.304135
237.187500,-0.772795,-0.514803,-0.305664
237.656250,-0.776822,-0.515492,-0.307240
238.125000,-0.780716,-0.516188,-0.308864
238.593750,-0.784481,-0.516891,-0.310535
239.062500,-0.788123,-0.517599,-0.312253
239.531250,-0.791646,-0.518312,-0.314016
240.000000,-0.795056,-0.519031,-0.315826
240.468750,-0.798357,-0.519755,-0.317680
